time, omega, abs(psi(t)), arg(psi(t)), abs(psi(omega)), arg(psi(omega))
1.00000e-01,0.00000e+00,1.10841e-01,2.43602e-01,1.95527e+00,-7.40380e-01
2.00000e-01,6.28319e-03,1.50485e-01,2.01334e-01,1.94303e+00,-7.39959e-01
3.00000e-01,1.25664e-02,1.82260e-01,-1.22509e-02,1.93094e+00,-7.39539e-01
4.00000e-01,1.88496e-02,1.95847e-01,-2.52988e-01,1.91899e+00,-7.39118e-01
5.00000e-01,2.51327e-02,1.96303e-01,-4.68984e-01,1.90719e+00,-7.38696e-01
6.00000e-01,3.14159e-02,1.90272e-01,-6.52161e-01,1.89553e+00,-7.38275e-01
7.00000e-01,3.76991e-02,1.81907e-01,-8.06738e-01,1.88402e+00,-7.37854e-01
8.00000e-01,4.39823e-02,1.73298e-01,-9.38835e-01,1.87264e+00,-7.37432e-01
9.00000e-01,5.02655e-02,1.65381e-01,-1.05384e+00,1.86140e+00,-7.37009e-01
1.00000e+00,5.65487e-02,1.58522e-01,-1.15601e+00,1.85029e+00,-7.36587e-01
1.10000e+00,6.28319e-02,1.52827e-01,-1.24864e+00,1.83931e+00,-7.36164e-01
1.20000e+00,6.91150e-02,1.48290e-01,-1.33428e+00,1.82845e+00,-7.35740e-01
1.30000e+00,7.53982e-02,1.44866e-01,-1.41498e+00,1.81773e+00,-7.35317e-01
1.40000e+00,8.16814e-02,1.42499e-01,-1.49241e+00,1.80713e+00,-7.34894e-01
1.50000e+00,8.79646e-02,1.41146e-01,-1.56803e+00,1.79665e+00,-7.34470e-01
1.60000e+00,9.42478e-02,1.40773e-01,-1.64321e+00,1.78629e+00,-7.34046e-01
1.70000e+00,1.00531e-01,1.41369e-01,-1.71923e+00,1.77604e+00,-7.33622e-01
1.80000e+00,1.06814e-01,1.42938e-01,-1.79724e+00,1.76592e+00,-7.33199e-01
1.90000e+00,1.13097e-01,1.45451e-01,-1.87926e+00,1.75590e+00,-7.32780e-01
2.00000e+00,1.19381e-01,1.49037e-01,-1.96603e+00,1.74599e+00,-7.32351e-01
2.10000e+00,1.25664e-01,1.53467e-01,-2.06082e+00,1.73621e+00,-7.31928e-01
2.20000e+00,1.31947e-01,1.59037e-01,-2.16461e+00,1.72653e+00,-7.31498e-01
2.30000e+00,1.38230e-01,1.65167e-01,-2.28269e+00,1.71695e+00,-7.31069e-01
2.40000e+00,1.44513e-01,1.71833e-01,-2.41661e+00,1.70748e+00,-7.30644e-01
2.50000e+00,1.50796e-01,1.77858e-01,-2.57466e+00,1.69811e+00,-7.30219e-01
2.60000e+00,1.57080e-01,1.81408e-01,-2.76031e+00,1.68884e+00,-7.29793e-01
2.70000e+00,1.63363e-01,1.78983e-01,-2.98055e+00,1.67967e+00,-7.29366e-01
2.80000e+00,1.69646e-01,1.64893e-01,3.05222e+00,1.67060e+00,-7.28940e-01
2.90000e+00,1.75929e-01,1.34011e-01,2.80994e+00,1.66163e+00,-7.28513e-01
3.00000e+00,1.82212e-01,9.28697e-02,2.70970e+00,1.65275e+00,-7.28086e-01
3.10000e+00,1.88496e-01,6.46398e-02,2.95241e+00,1.64396e+00,-7.27658e-01
3.20000e+00,1.94779e-01,6.79838e-02,-2.87457e+00,1.63528e+00,-7.27234e-01
3.30000e+00,2.01062e-01,1.00672e-01,-2.70806e+00,1.62667e+00,-7.26805e-01
3.40000e+00,2.07345e-01,1.41319e-01,-2.85157e+00,1.61815e+00,-7.26377e-01
3.50000e+00,2.13628e-01,1.68881e-01,-3.10265e+00,1.60972e+00,-7.25949e-01
3.60000e+00,2.19911e-01,1.80082e-01,2.93505e+00,1.60138e+00,-7.25521e-01
3.70000e+00,2.26195e-01,1.81132e-01,2.72203e+00,1.59313e+00,-7.25093e-01
3.80000e+00,2.32478e-01,1.76772e-01,2.54137e+00,1.58496e+00,-7.24665e-01
3.90000e+00,2.38761e-01,1.70516e-01,2.38937e+00,1.57687e+00,-7.24237e-01
4.00000e+00,2.45044e-01,1.63976e-01,2.25845e+00,1.56886e+00,-7.23808e-01
4.10000e+00,2.51327e-01,1.57849e-01,2.14336e+00,1.56093e+00,-7.23380e-01
4.20000e+00,2.57611e-01,1.52545e-01,2.04196e+00,1.55308e+00,-7.22952e-01
4.30000e+00,2.63894e-01,1.48265e-01,1.94843e+00,1.54531e+00,-7.22520e-01
4.40000e+00,2.70177e-01,1.44872e-01,1.86313e+00,1.53761e+00,-7.22092e-01
4.50000e+00,2.76460e-01,1.42575e-01,1.78168e+00,1.53000e+00,-7.21663e-01
4.60000e+00,2.82743e-01,1.41158e-01,1.70452e+00,1.52245e+00,-7.21233e-01
4.70000e+00,2.89027e-01,1.40793e-01,1.62835e+00,1.51498e+00,-7.20804e-01
4.80000e+00,2.95310e-01,1.41301e-01,1.55365e+00,1.50758e+00,-7.20374e-01
4.90000e+00,3.01593e-01,1.42915e-01,1.47736e+00,1.50025e+00,-7.19944e-01
5.00000e+00,3.07876e-01,1.45406e-01,1.39969e+00,1.49299e+00,-7.19514e-01
5.10000e+00,3.14159e-01,1.49130e-01,1.31805e+00,1.48580e+00,-7.19084e-01
5.20000e+00,3.20442e-01,1.53785e-01,1.23124e+00,1.47868e+00,-7.18654e-01
5.30000e+00,3.26726e-01,1.59830e-01,1.13713e+00,1.47163e+00,-7.18224e-01
5.40000e+00,3.33009e-01,1.66789e-01,1.03227e+00,1.46464e+00,-7.17794e-01
5.50000e+00,3.39292e-01,1.74946e-01,9.15224e-01,1.45771e+00,-7.17363e-01
5.60000e+00,3.45575e-01,1.83662e-01,7.78027e-01,1.45086e+00,-7.16932e-01
5.70000e+00,3.51858e-01,1.91586e-01,6.19310e-01,1.44406e+00,-7.16502e-01
5.80000e+00,3.58142e-01,1.97031e-01,4.29808e-01,1.43733e+00,-7.16071e-01
5.90000e+00,3.64425e-01,1.94431e-01,2.06865e-01,1.43066e+00,-7.15640e-01
6.00000e+00,3.70708e-01,1.77431e-01,-3.39148e-02,1.42405e+00,-7.15209e-01
6.10000e+00,3.76991e-01,1.42762e-01,-2.28817e-01,1.41750e+00,-7.14778e-01
