time, omega, abs(psi(t)), arg(psi(t)), abs(psi(omega)), arg(psi(omega))
1.00000e-01,0.00000e+00,1.13246e-01,7.40077e-01,2.13979e+00,-1.26149e+00
2.00000e-01,6.28319e-03,1.62174e-01,1.16266e+00,4.09330e+00,-1.17803e+00
3.00000e-01,1.25664e-02,2.05983e-01,1.38010e+00,1.19921e+01,-1.11829e+00
4.00000e-01,1.88496e-02,2.28808e-01,1.55943e+00,2.55942e+01,2.06870e+00
5.00000e-01,2.51327e-02,2.35257e-01,1.76139e+00,7.33469e+00,2.10483e+00
6.00000e-01,3.14159e-02,2.33144e-01,1.99493e+00,4.62346e+00,2.13465e+00
7.00000e-01,3.76991e-02,2.27523e-01,2.25502e+00,3.52293e+00,2.16001e+00
8.00000e-01,4.39823e-02,2.20946e-01,2.53471e+00,2.92165e+00,2.18211e+00
9.00000e-01,5.02655e-02,2.14531e-01,2.82810e+00,2.53966e+00,2.20175e+00
1.00000e+00,5.65487e-02,2.08676e-01,3.13075e+00,2.27347e+00,2.21952e+00
1.10000e+00,6.28319e-02,2.03439e-01,-2.84367e+00,2.07590e+00,2.23581e+00
1.20000e+00,6.91150e-02,1.98730e-01,-2.53093e+00,1.92235e+00,2.25093e+00
1.30000e+00,7.53982e-02,1.94404e-01,-2.21556e+00,1.79877e+00,2.26511e+00
1.40000e+00,8.16814e-02,1.90308e-01,-1.89829e+00,1.69647e+00,2.27852e+00
1.50000e+00,8.79646e-02,1.86298e-01,-1.57945e+00,1.60985e+00,2.29130e+00
1.60000e+00,9.42478e-02,1.82299e-01,-1.25897e+00,1.53509e+00,2.30355e+00
1.70000e+00,1.00531e-01,1.78156e-01,-9.36234e-01,1.46950e+00,2.31534e+00
1.80000e+00,1.06814e-01,1.74052e-01,-6.11544e-01,1.41112e+00,2.32674e+00
1.90000e+00,1.13097e-01,1.69547e-01,-2.82441e-01,1.35848e+00,2.33778e+00
2.00000e+00,1.19381e-01,1.65640e-01,5.01385e-02,1.31046e+00,2.34849e+00
2.10000e+00,1.25664e-01,1.61046e-01,3.85660e-01,1.26616e+00,2.35887e+00
2.20000e+00,1.31947e-01,1.57150e-01,7.32565e-01,1.22488e+00,2.36892e+00
2.30000e+00,1.38230e-01,1.54384e-01,1.08016e+00,1.18600e+00,2.37859e+00
2.40000e+00,1.44513e-01,1.51485e-01,1.43040e+00,1.14901e+00,2.38783e+00
2.50000e+00,1.50796e-01,1.48947e-01,1.79103e+00,1.11345e+00,2.39654e+00
2.60000e+00,1.57080e-01,1.48564e-01,2.16343e+00,1.07887e+00,2.40457e+00
2.70000e+00,1.63363e-01,1.51793e-01,2.52723e+00,1.04484e+00,2.41172e+00
2.80000e+00,1.69646e-01,1.54337e-01,2.86761e+00,1.01090e+00,2.41766e+00
2.90000e+00,1.75929e-01,1.53820e-01,-3.06158e+00,9.76546e-01,2.42193e+00
3.00000e+00,1.82212e-01,1.57283e-01,-2.67938e+00,9.41205e-01,2.42382e+00
3.10000e+00,1.88496e-01,1.67939e-01,-2.31772e+00,9.04002e-01,2.42217e+00
3.20000e+00,1.94779e-01,1.80185e-01,-2.00450e+00,8.64012e-01,2.41515e+00
3.30000e+00,2.01062e-01,1.86053e-01,-1.72324e+00,8.19798e-01,2.39953e+00
3.40000e+00,2.07345e-01,1.83241e-01,-1.41724e+00,7.69374e-01,2.36924e+00
3.50000e+00,2.13628e-01,1.83597e-01,-1.05463e+00,7.10111e-01,2.31161e+00
3.60000e+00,2.19911e-01,1.96237e-01,-7.02068e-01,6.39614e-01,2.19657e+00
3.70000e+00,2.26195e-01,2.11494e-01,-4.08303e-01,5.65806e-01,1.94115e+00
3.80000e+00,2.32478e-01,2.21002e-01,-1.44361e-01,5.86359e-01,1.35483e+00
3.90000e+00,2.38761e-01,2.24121e-01,1.12224e-01,1.31165e+00,6.15957e-01
4.00000e+00,2.45044e-01,2.20552e-01,3.70959e-01,3.25391e+01,2.38895e-01
4.10000e+00,2.51327e-01,2.09589e-01,6.52614e-01,3.08517e+00,-3.05980e+00
4.20000e+00,2.57611e-01,1.98653e-01,9.92287e-01,1.93257e+00,-3.12901e+00
4.30000e+00,2.63894e-01,1.99518e-01,1.36007e+00,1.56693e+00,3.12564e+00
4.40000e+00,2.70177e-01,2.10041e-01,1.68917e+00,1.38633e+00,3.11935e+00
4.50000e+00,2.76460e-01,2.19455e-01,1.96200e+00,1.27807e+00,3.12703e+00
4.60000e+00,2.82743e-01,2.18986e-01,2.20828e+00,1.20594e+00,-3.13869e+00
4.70000e+00,2.89027e-01,2.08665e-01,2.46851e+00,1.15494e+00,-3.11372e+00
4.80000e+00,2.95310e-01,1.94686e-01,2.76312e+00,1.11785e+00,-3.08255e+00
4.90000e+00,3.01593e-01,1.81629e-01,3.08879e+00,1.09092e+00,-3.04597e+00
5.00000e+00,3.07876e-01,1.70837e-01,-2.84467e+00,1.07211e+00,-3.00451e+00
5.10000e+00,3.14159e-01,1.62777e-01,-2.47429e+00,1.06030e+00,-2.95849e+00
5.20000e+00,3.20442e-01,1.58411e-01,-2.07886e+00,1.05519e+00,-2.90826e+00
5.30000e+00,3.26726e-01,1.62822e-01,-1.67450e+00,1.05663e+00,-2.85404e+00
5.40000e+00,3.33009e-01,1.74635e-01,-1.31957e+00,1.06495e+00,-2.79615e+00
5.50000e+00,3.39292e-01,1.83690e-01,-1.01534e+00,1.08074e+00,-2.73496e+00
5.60000e+00,3.45575e-01,1.88023e-01,-7.18041e-01,1.10483e+00,-2.67091e+00
5.70000e+00,3.51858e-01,1.90463e-01,-4.27071e-01,1.13833e+00,-2.60453e+00
5.80000e+00,3.58142e-01,1.88157e-01,-1.46326e-01,1.18264e+00,-2.53642e+00
5.90000e+00,3.64425e-01,1.78274e-01,1.55715e-01,1.23948e+00,-2.46727e+00
6.00000e+00,3.70708e-01,1.69500e-01,5.23286e-01,1.31103e+00,-2.39777e+00
6.10000e+00,3.76991e-01,1.72286e-01,9.06948e-01,1.40001e+00,-2.32862e+00
6.20000e+00,3.83274e-01,1.80430e-01,1.24643e+00,1.50991e+00,-2.26051e+00
6.30000e+00,3.89557e-01,1.86524e-01,1.55196e+00,1.64528e+00,-2.19401e+00
6.40000e+00,3.95841e-01,1.87459e-01,1.84978e+00,1.81219e+00,-2.12963e+00
6.50000e+00,4.02124e-01,1.86366e-01,2.16768e+00,2.01904e+00,-2.06776e+00
6.60000e+00,4.08407e-01,1.88727e-01,2.49124e+00,2.27773e+00,-2.00868e+00
6.70000e+00,4.14690e-01,1.92472e-01,2.79318e+00,2.60579e+00,-1.95258e+00
6.80000e+00,4.20973e-01,1.92863e-01,3.07746e+00,3.03014e+00,-1.89953e+00
6.90000e+00,4.27257e-01,1.88818e-01,-2.92317e+00,3.59441e+00,-1.84954e+00
7.00000e+00,4.33540e-01,1.80147e-01,-2.63029e+00,4.37414e+00,-1.80255e+00
7.10000e+00,4.39823e-01,1.68877e-01,-2.30316e+00,5.51247e+00,-1.75848e+00
7.20000e+00,4.46106e-01,1.62436e-01,-1.93499e+00,7.31729e+00,-1.71717e+00
7.30000e+00,4.52389e-01,1.63154e-01,-1.58475e+00,1.05937e+01,-1.67849e+00
7.40000e+00,4.58673e-01,1.60496e-01,-1.27158e+00,1.83258e+01,-1.64227e+00
7.50000e+00,4.64956e-01,1.50709e-01,-9.31543e-01,5.84665e+01,-1.60834e+00
7.60000e+00,4.71239e-01,1.43949e-01,-5.25528e-01,5.52609e+01,1.56504e+00
7.70000e+00,4.77522e-01,1.46424e-01,-1.05939e-01,1.95521e+01,1.59486e+00
7.80000e+00,4.83805e-01,1.55542e-01,2.95093e-01,1.21704e+01,1.62285e+00
7.90000e+00,4.90088e-01,1.72196e-01,6.52437e-01,8.98599e+00,1.64919e+00
8.00000e+00,4.96372e-01,1.89291e-01,9.37361e-01,7.21408e+00,1.67393e+00
8.10000e+00,5.02655e-01,1.96072e-01,1.18200e+00,6.08671e+00,1.69727e+00
8.20000e+00,5.08938e-01,1.90498e-01,1.44672e+00,5.30731e+00,1.71930e+00
8.30000e+00,5.15221e-01,1.81807e-01,1.76828e+00,4.73692e+00,1.74013e+00
8.40000e+00,5.21504e-01,1.79487e-01,2.12603e+00,4.30185e+00,1.75985e+00
8.50000e+00,5.27788e-01,1.83192e-01,2.47246e+00,3.95937e+00,1.77855e+00
8.60000e+00,5.34071e-01,1.87122e-01,2.80221e+00,3.68301e+00,1.79632e+00
8.70000e+00,5.40354e-01,1.91766e-01,3.13351e+00,3.45550e+00,1.81321e+00
8.80000e+00,5.46637e-01,1.99536e-01,-2.83362e+00,3.26509e+00,1.82931e+00
8.90000e+00,5.52920e-01,2.04686e-01,-2.54707e+00,3.10351e+00,1.84468e+00
9.00000e+00,5.59203e-01,2.03268e-01,-2.25454e+00,2.96479e+00,1.85937e+00
9.10000e+00,5.65487e-01,2.01639e-01,-1.93947e+00,2.84449e+00,1.87343e+00
9.20000e+00,5.71770e-01,2.01726e-01,-1.62064e+00,2.73924e+00,1.88691e+00
9.30000e+00,5.78053e-01,2.02567e-01,-1.29777e+00,2.64646e+00,1.89987e+00
9.40000e+00,5.84336e-01,2.06545e-01,-9.77005e-01,2.56412e+00,1.91233e+00
9.50000e+00,5.90619e-01,2.10898e-01,-6.77863e-01,2.49061e+00,1.92433e+00
9.60000e+00,5.96903e-01,2.12115e-01,-3.83505e-01,2.42465e+00,1.93592e+00
9.70000e+00,6.03186e-01,2.12903e-01,-9.04288e-02,2.36517e+00,1.94712e+00
9.80000e+00,6.09469e-01,2.11282e-01,1.93265e-01,2.31132e+00,1.95797e+00
9.90000e+00,6.15752e-01,2.05463e-01,4.80374e-01,2.26238e+00,1.96849e+00
1.00000e+01,6.22035e-01,1.96506e-01,7.85327e-01,2.21775e+00,1.97871e+00
1.01000e+01,6.28319e-01,1.88171e-01,1.12423e+00,2.17695e+00,1.98866e+00
1.02000e+01,6.34602e-01,1.87671e-01,1.48095e+00,2.13953e+00,1.99835e+00
1.03000e+01,6.40885e-01,1.92877e-01,1.79960e+00,2.10515e+00,2.00782e+00
1.04000e+01,6.47168e-01,1.92335e-01,2.08541e+00,2.07349e+00,2.01709e+00
1.05000e+01,6.53451e-01,1.87492e-01,2.39208e+00,2.04429e+00,2.02618e+00
1.06000e+01,6.59734e-01,1.86265e-01,2.69908e+00,2.01733e+00,2.03510e+00
1.07000e+01,6.66018e-01,1.82113e-01,2.97255e+00,1.99240e+00,2.04389e+00
1.08000e+01,6.72301e-01,1.68508e-01,-3.03588e+00,1.96933e+00,2.05256e+00
1.09000e+01,6.78584e-01,1.49391e-01,-2.71171e+00,1.94798e+00,2.06113e+00
1.10000e+01,6.84867e-01,1.31900e-01,-2.31076e+00,1.92821e+00,2.06963e+00
1.11000e+01,6.91150e-01,1.22926e-01,-1.83588e+00,1.90993e+00,2.07808e+00
1.12000e+01,6.97434e-01,1.26905e-01,-1.33748e+00,1.89302e+00,2.08649e+00
1.13000e+01,7.03717e-01,1.43776e-01,-9.01048e-01,1.87742e+00,2.09490e+00
1.14000e+01,7.10000e-01,1.65256e-01,-5.61995e-01,1.86304e+00,2.10333e+00
1.15000e+01,7.16283e-01,1.82030e-01,-2.86082e-01,1.84984e+00,2.11180e+00
1.16000e+01,7.22566e-01,1.89843e-01,-2.75702e-02,1.83777e+00,2.12036e+00
1.17000e+01,7.28849e-01,1.90377e-01,2.43694e-01,1.82679e+00,2.12902e+00
1.18000e+01,7.35133e-01,1.86942e-01,5.41372e-01,1.81688e+00,2.13783e+00
1.19000e+01,7.41416e-01,1.84640e-01,8.66957e-01,1.80803e+00,2.14683e+00
1.20000e+01,7.47699e-01,1.85653e-01,1.20081e+00,1.80025e+00,2.15607e+00
1.21000e+01,7.53982e-01,1.89752e-01,1.52987e+00,1.79354e+00,2.16559e+00
1.22000e+01,7.60265e-01,1.95445e-01,1.83868e+00,1.78794e+00,2.17547e+00
1.23000e+01,7.66549e-01,1.97707e-01,2.13198e+00,1.78351e+00,2.18577e+00
1.24000e+01,7.72832e-01,1.97611e-01,2.43684e+00,1.78031e+00,2.19658e+00
1.25000e+01,7.79115e-01,1.99750e-01,2.74211e+00,1.77847e+00,2.20801e+00
1.26000e+01,7.85398e-01,2.00944e-01,3.02533e+00,1.77811e+00,2.22019e+00
1.27000e+01,7.91681e-01,1.96144e-01,-2.98144e+00,1.77945e+00,2.23326e+00
1.28000e+01,7.97965e-01,1.86610e-01,-2.68727e+00,1.78275e+00,2.24743e+00
1.29000e+01,8.04248e-01,1.75279e-01,-2.36524e+00,1.78839e+00,2.26294e+00
1.30000e+01,8.10531e-01,1.65210e-01,-2.00608e+00,1.79689e+00,2.28011e+00
1.31000e+01,8.16814e-01,1.60790e-01,-1.61857e+00,1.80898e+00,2.29935e+00
1.32000e+01,8.23097e-01,1.62773e-01,-1.22984e+00,1.82572e+00,2.32121e+00
1.33000e+01,8.29380e-01,1.70989e-01,-8.65118e-01,1.84871e+00,2.34644e+00
1.34000e+01,8.35664e-01,1.79773e-01,-5.48999e-01,1.88042e+00,2.37606e+00
1.35000e+01,8.41947e-01,1.82463e-01,-2.51119e-01,1.92488e+00,2.41157e+00
